Date,Price,Open,High,Low,Vol.,Change %
03/27/2025,15.51,15.5385,15.5385,15.4924,,0.39%
03/26/2025,15.45,15.5,15.55,15.475,,0.00%
03/25/2025,15.45,15.5,15.55,15.47,,0.00%
03/24/2025,15.45,15.5,15.55,15.475,,0.00%
03/21/2025,15.45,15.5,15.53,15.5,,0.00%
03/20/2025,15.45,15.5,15.55,15.475,,0.00%
03/19/2025,15.45,15.5,15.55,15.475,,0.00%
03/18/2025,15.45,15.5,15.55,15.475,,0.00%
03/17/2025,15.45,15.5,15.55,15.475,,0.00%
03/14/2025,15.45,15.5,15.55,15.45,,0.00%
03/13/2025,15.45,15.5,15.55,15.35,,-0.13%
03/12/2025,15.47,15.5,15.55,15.475,,0.13%
03/11/2025,15.45,15.51,15.56,15.475,,-0.06%
03/10/2025,15.46,15.5,15.56,15.465,,-0.13%
03/07/2025,15.48,15.5,15.55,15.465,,0.19%
03/06/2025,15.45,15.45,15.45,15.45,,0.00%
03/05/2025,15.45,15.51,15.55,15.475,,0.00%
03/04/2025,15.45,15.5,15.54,15.475,,0.00%
03/03/2025,15.45,15.5,15.55,15.49,,0.00%
02/28/2025,15.45,15.5,15.54,15.5,,0.00%
02/27/2025,15.45,15.5,15.53,15.49,,0.00%
02/26/2025,15.45,15.5,15.62,15.465,,0.00%
02/25/2025,15.45,15.5,15.54,15.465,,0.00%
02/24/2025,15.45,15.54,15.925,15.475,,-0.19%
02/21/2025,15.48,15.55,15.56,15.475,,-0.13%
02/20/2025,15.5,15.525,15.56,15.495,,0.00%
02/19/2025,15.5,15.5,15.525,15.485,,0.00%
02/18/2025,15.5,15.475,15.6,15.45,,0.32%
02/17/2025,15.45,15.5,15.9,15.41,,0.32%
02/14/2025,15.4,15.425,15.525,15.4,,0.00%
02/13/2025,15.4,15.45,15.525,15.415,,0.00%
02/12/2025,15.4,15.45,15.5,15.4,,0.00%
02/11/2025,15.4,15.35,15.55,15.35,,0.65%
02/10/2025,15.3,15.415,15.5,15.35,,-0.65%
02/07/2025,15.4,15.4,15.485,15.375,,0.33%
02/06/2025,15.35,15.4,15.5,15.35,,0.00%
02/05/2025,15.35,15.35,15.5,15.3,,0.33%
02/04/2025,15.3,15.35,15.4,15.275,,0.00%
02/03/2025,15.3,15.35,15.4,15.25,,0.33%
01/31/2025,15.25,15.275,15.4,15.2,,-0.33%
01/30/2025,15.3,15.3,15.35,15.175,,0.33%
01/29/2025,15.25,15.2,15.35,15.175,,0.66%
01/28/2025,15.15,15.2,15.285,15.2,,0.00%
01/27/2025,15.15,15.2,15.3105,15.1,,0.00%
01/24/2025,15.15,15.15,15.225,15.025,,0.00%
01/23/2025,15.15,15.175,15.25,15.05,,0.33%
01/22/2025,15.1,15.05,15.225,14.95,,0.67%
01/21/2025,15,15.025,15.3,14.95,,0.00%
01/20/2025,15,14.85,15.075,14.805,,1.35%
01/17/2025,14.8,14.9,15.025,14.775,,-0.67%
01/16/2025,14.9,14.85,15,14.7,,0.68%
01/15/2025,14.8,14.825,14.9,14.7,,0.00%
01/14/2025,14.8,14.825,14.87,14.695,,0.00%
01/13/2025,14.8,14.75,14.865,14.7,,0.34%
01/10/2025,14.75,14.73,14.85,14.725,,0.20%
01/09/2025,14.72,14.775,14.8,14.7,,0.14%
01/08/2025,14.7,14.73,14.805,14.675,,0.14%
01/07/2025,14.68,14.73,14.73,14.7,,0.00%
01/06/2025,14.68,14.7,14.775,14.65,,0.20%
01/03/2025,14.65,14.7,14.9,14.65,,0.00%
01/02/2025,14.65,14.7,14.78,14.65,,0.00%
01/01/2025,14.65,14.65,14.65,14.65,,0.00%
12/31/2024,14.65,14.7,14.725,14.65,,0.00%
12/30/2024,14.65,14.7,14.725,14.65,,0.00%
12/27/2024,14.65,14.65,14.85,14.65,,0.00%
12/26/2024,14.65,14.65,14.65,14.65,,0.00%
12/25/2024,14.65,14.65,14.65,14.65,,0.00%
12/24/2024,14.65,14.7,14.7,14.55,,0.00%
12/23/2024,14.65,14.7,14.765,14.5975,,0.00%
